cs.po      strings: total: 17023	| 6041t	25f	10957u	| 35.48728191270634%t	0.1468601304117958%f	64.36585795688187%u
de.po      strings: total: 17023	| 15778t	0f	1245u	| 92.68636550549257%t	0.0%f	7.313634494507431%u
en.po      strings: total: 17023	| 17023t	0f	0u	| 100.0%t	0.0%f	0.0%u
es.po      strings: total: 17023	| 16746t	0f	277u	| 98.3727897550373%t	0.0%f	1.6272102449626975%u
fr.po      strings: total: 17023	| 17023t	0f	0u	| 100.0%t	0.0%f	0.0%u
hi.po      strings: total: 17023	| 495t	0f	16528u	| 2.907830582153557%t	0.0%f	97.09216941784645%u
id.po      strings: total: 17023	| 608t	0f	16415u	| 3.571638371614874%t	0.0%f	96.42836162838513%u
it.po      strings: total: 17023	| 10776t	49f	6198u	| 63.30259061270046%t	0.2878458556071198%f	36.40956353169241%u
ja.po      strings: total: 17023	| 2197t	10f	14816u	| 12.906068260588615%t	0.05874405216471832%f	87.03518768724666%u
ko.po      strings: total: 17023	| 748t	1f	16274u	| 4.39405510192093%t	0.005874405216471832%f	95.6000704928626%u
nl.po      strings: total: 17023	| 488t	0f	16535u	| 2.866709745638254%t	0.0%f	97.13329025436174%u
pl.po      strings: total: 17023	| 792t	1722f	14509u	| 4.6525289314456915%t	10.115725782764494%f	85.23174528578981%u
pt.po      strings: total: 17023	| 15996t	0f	1027u	| 93.96698584268343%t	0.0%f	6.033014157316572%u
ru.po      strings: total: 17023	| 15773t	0f	1250u	| 92.6569934794102%t	0.0%f	7.34300652058979%u
sv.po      strings: total: 17023	| 503t	0f	16520u	| 2.9548258238853315%t	0.0%f	97.04517417611467%u
tr.po      strings: total: 17023	| 15747t	0f	1276u	| 92.50425894378195%t	0.0%f	7.4957410562180575%u
uk.po      strings: total: 17023	| 15332t	0f	1691u	| 90.06638077894613%t	0.0%f	9.933619221053869%u
vi.po      strings: total: 17023	| 15747t	0f	1276u	| 92.50425894378195%t	0.0%f	7.4957410562180575%u
zh_Hans.po strings: total: 17023	| 17017t	0f	6u	| 99.96475356870117%t	0.0%f	0.035246431298830996%u
zh_Hant.po strings: total: 17023	| 11605t	0f	5418u	| 68.17247253715561%t	0.0%f	31.827527462844387%u
